subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_TF_top30,sbfl-based-100,65.11,82.34,99.11,100.0,47.94,4.05,340.18,8.43,42.22,18.85,6.5,98.1,99.37,99.37,100.0,1.47,0.0,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-50,58.92,79.39,98.73,100.0,47.94,4.05,168.46,6.95,42.04,18.85,6.5,97.47,98.73,98.73,98.73,0.73,-50.07,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-30,56.19,78.79,98.67,100.0,47.94,4.05,100.13,6.32,41.94,18.85,6.5,96.2,96.2,96.2,96.2,0.42,-71.26,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-10,59.35,81.47,98.67,100.0,47.94,4.05,32.72,4.91,39.29,17.04,6.5,92.41,92.41,92.41,92.41,0.14,-90.7,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-1,52.9,76.36,98.73,100.0,47.94,4.05,7.66,2.44,17.49,8.7,6.5,84.18,84.18,84.18,84.18,0.03,-97.68,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-0,48.01,73.46,98.54,100.0,47.94,4.05,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,100.0,52.0
libxml2_TF_top30,sbfl-based-100,84.59,92.29,93.9,98.43,2337.66,119.69,15461.43,8.43,23.97,0.08,7.58,75.0,76.69,71.19,76.27,27.56,0.0,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-50,85.28,93.07,93.98,98.56,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58,75.42,77.97,72.88,78.81,13.98,-49.28,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-30,85.15,92.9,93.94,98.43,2337.66,119.69,4592.9,8.43,23.97,0.08,7.58,75.85,78.81,74.15,81.78,8.4,-69.51,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-10,86.75,94.24,94.03,98.73,2337.66,119.69,1519.75,8.31,22.36,0.08,7.58,76.69,82.63,82.63,94.07,2.66,-90.34,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-1,62.16,82.68,84.24,92.16,2337.66,119.69,150.98,4.81,14.62,0.01,7.58,78.39,88.56,79.66,89.41,0.25,-99.11,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-0,35.11,64.68,70.34,85.17,2337.66,119.69,0.0,0.0,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.0,-100.0,72.03,85.17,52.52
opencv_features2d_TF_top30,sbfl-based-100,80.04,90.69,84.96,95.08,467.12,21.7,3757.05,9.15,2.65,0.09,2.69,60.83,82.08,78.33,90.0,12.76,0.0,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-50,78.4,89.7,82.5,94.0,467.12,21.7,1878.6,6.92,2.21,0.07,2.69,61.25,84.17,72.5,89.17,6.41,-49.76,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-30,78.14,90.22,79.08,90.75,467.12,21.7,1122.32,5.14,1.6,0.06,2.69,64.17,82.92,71.67,86.25,3.83,-69.97,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-10,64.37,82.73,76.88,91.13,467.12,21.7,375.18,2.88,0.99,0.0,2.69,64.58,78.75,66.25,78.75,1.28,-90.0,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-1,44.11,71.43,46.58,72.92,467.12,21.7,35.2,0.25,0.02,0.0,2.69,50.0,52.92,51.25,54.17,0.12,-99.06,30.0,77.08,54.47
opencv_features2d_TF_top30,sbfl-based-0,42.6,69.87,23.38,62.46,467.12,21.7,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,0.0,-100.0,30.0,77.08,54.47
opencv_imgproc_TF_top30,sbfl-based-100,80.48,91.39,79.18,90.91,195.48,13.34,1346.81,8.85,3.47,0.08,0.67,71.55,79.31,73.71,81.03,9.03,0.0,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-50,63.42,83.03,66.81,83.62,195.48,13.34,676.75,6.19,3.03,0.07,0.67,66.81,75.86,69.83,77.59,4.51,-50.03,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-30,62.08,81.69,65.56,83.58,195.48,13.34,407.15,4.8,2.19,0.05,0.67,64.66,71.12,65.95,72.84,2.66,-70.56,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-10,43.64,69.96,47.11,66.77,195.48,13.34,131.51,2.07,0.88,0.01,0.67,54.74,80.17,55.6,79.74,0.86,-90.49,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-1,34.16,63.03,36.21,52.41,195.48,13.34,11.56,0.34,0.19,0.0,0.67,38.36,38.36,38.36,38.36,0.08,-99.15,40.95,56.47,53.47
opencv_imgproc_TF_top30,sbfl-based-0,33.33,61.95,36.03,51.68,195.48,13.34,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,-100.0,40.95,56.47,53.47
opencv_core_TF_top30,sbfl-based-100,83.07,92.68,59.7,67.16,969.56,124.24,5586.95,8.74,29.66,5.22,10.64,68.97,69.4,64.66,69.4,66.62,0.0,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-50,78.66,89.78,59.87,65.95,969.56,124.24,2832.79,8.69,29.66,5.22,10.64,69.4,70.69,68.53,75.86,33.47,-49.76,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-30,84.16,93.2,66.98,73.19,969.56,124.24,1706.59,8.59,29.61,5.22,10.64,68.53,69.4,69.83,76.29,19.83,-70.24,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-10,79.83,90.87,53.58,62.11,969.56,124.24,570.93,6.59,29.05,5.22,10.64,60.78,64.66,64.22,68.53,6.46,-90.31,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-1,58.61,80.13,38.41,49.27,969.56,124.24,54.86,2.22,19.38,5.17,10.64,52.59,61.21,52.59,61.21,0.6,-99.1,43.53,54.74,52.7
opencv_core_TF_top30,sbfl-based-0,47.14,72.9,36.59,45.69,969.56,124.24,0.0,0.0,0.0,0.0,10.64,0.0,0.0,0.0,0.0,0.0,-100.0,43.53,54.74,52.7
jsoncpp_TF_top30,sbfl-based-100,81.13,90.43,94.4,98.88,430.88,77.91,2180.18,8.35,12.66,0.83,3.27,68.1,69.4,69.4,81.9,2.33,0.0,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-50,82.47,91.43,95.43,99.05,430.88,77.91,1089.22,8.35,12.66,0.83,3.27,67.67,68.97,77.59,91.38,1.16,-50.5,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-30,86.71,94.24,95.65,99.22,430.88,77.91,664.09,8.32,12.66,0.83,3.27,67.67,68.1,83.19,94.83,0.68,-71.0,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-10,85.71,94.59,94.35,98.58,430.88,77.91,236.1,7.65,12.09,0.83,3.27,70.69,88.36,89.22,96.98,0.22,-90.47,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-1,65.37,83.03,82.93,93.88,430.88,77.91,23.25,3.14,7.03,0.83,3.27,75.0,75.0,75.0,75.0,0.02,-99.12,77.59,91.81,48.15
jsoncpp_TF_top30,sbfl-based-0,37.97,66.54,78.19,93.15,430.88,77.91,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,-100.0,77.59,91.81,48.15
