buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
padding_layer.MUT19.cpp,1,2850,0,0,22,2873,505,12270,4189,12541,14008,0.8952741290691034,0.8820673900628212,0,0,46,46,505,0,0,1050,63
gather_elements_layer.MUT16.cpp,2,2870,0,0,1,2873,986,12467,1055,12539,14008,0.8951313535122787,0.8917047401484866,0,0,96,96,986,0,0,1050,63
tf_importer.MUT958.cpp,4,2869,0,0,0,2873,1726,12463,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,147,147,1726,0,0,1050,63
caffe_importer.MUT196.cpp,1,2872,0,0,0,2873,55,12530,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,9,9,55,0,0,1050,63
onnx_importer.MUT1364.cpp,1,2872,0,0,0,2873,1491,12473,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,144,144,1491,0,0,1050,63
onnx_importer.MUT1200.cpp,6,2867,0,0,0,2873,1092,12508,0,12543,14008,0.895416904625928,0.895416904625928,0,0,101,101,1092,0,0,1050,63
tf_importer.MUT1013.cpp,1,2869,0,0,3,2873,1447,12535,2580,12542,14008,0.8953455168475157,0.8953455168475157,0,0,129,129,1447,0,0,1050,63
elementwise_layers.MUT294.cpp,3,2870,0,0,0,2873,1043,12533,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,111,111,1043,0,0,1050,63
pooling_layer.MUT323.cpp,7,2866,0,0,0,2873,2726,12532,0,12536,14008,0.8949171901770417,0.8949171901770417,0,0,251,251,2726,0,0,1050,63
nary_eltwise_layers.MUT186.cpp,3,2866,0,0,4,2873,377,12513,3618,12541,14008,0.8952741290691034,0.8934894346087949,0,0,28,28,377,0,0,1050,63
correlation_layer.MUT41.cpp,1,2872,0,0,0,2873,421,12437,0,12537,14008,0.8949885779554541,0.8949885779554541,0,0,34,34,421,0,0,1050,63
elementwise_layers.MUT254.cpp,2,2871,0,0,0,2873,1095,12541,0,12543,14010,0.895289079229122,0.895289079229122,0,0,114,114,1095,0,0,1051,63
convolution_layer.MUT73.cpp,646,2226,0,0,1,2873,5509,11843,1394,12292,14008,0.8774985722444317,0.8774985722444317,0,0,466,466,5509,0,0,1050,63
darknet_io.MUT231.cpp,3,2870,0,0,0,2873,278,12382,0,12432,14008,0.8874928612221588,0.8874928612221588,0,0,22,22,278,0,0,1050,63
reduce_layer.MUT109.cpp,8,2865,0,0,0,2873,3067,12533,0,12541,14006,0.8954019705840354,0.8954019705840354,0,0,287,287,3067,0,0,1050,63
nary_eltwise_layers.MUT117.cpp,60,2806,0,0,7,2873,4745,12117,3686,12473,14008,0.8904197601370646,0.8884209023415192,0,0,402,402,4745,0,0,1050,63
onnx_graph_simplifier.MUT705.cpp,12,2861,0,0,0,2873,1187,12531,0,12534,14007,0.8948382951381452,0.8948382951381452,0,0,114,114,1187,0,0,1050,63
einsum_layer.MUT293.cpp,9,2864,0,0,0,2873,1104,12325,0,12347,14008,0.8814249000571103,0.8814249000571103,0,0,105,105,1104,0,0,1050,63
convolution_layer.MUT49.cpp,4,2868,0,0,1,2873,2292,12516,1480,12542,14008,0.8953455168475157,0.8953455168475157,0,0,193,193,2292,0,0,1050,63
arg_layer.MUT14.cpp,1,2871,0,0,0,2872,991,12482,0,12502,14008,0.8924900057110223,0.8924900057110223,0,0,101,101,991,0,0,1050,63
onnx_importer.MUT1574.cpp,1,2872,0,0,0,2873,1139,12528,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,115,115,1139,0,0,1050,63
gemm_layer.MUT47.cpp,11,2858,0,0,4,2873,4253,12514,1112,12541,14008,0.8952741290691034,0.8952741290691034,0,0,385,385,4253,0,0,1050,63
slice_layer.MUT14.cpp,1,2872,0,0,0,2873,1287,12523,0,12539,14007,0.8951952595131006,0.8951952595131006,0,0,122,122,1287,0,0,1050,63
torch_importer.MUT427.cpp,26,2847,0,0,0,2873,657,12049,0,12491,14008,0.8917047401484866,0.8917047401484866,0,0,41,41,657,0,0,1050,63
graph_simplifier.MUT5.cpp,44,2181,0,0,648,2873,4489,6066,9436,11869,14006,0.8474225332000571,0.5985292017706697,0,0,383,383,4489,0,0,1050,63
nary_eltwise_layers.MUT47.cpp,52,2809,0,0,12,2873,5003,12180,2942,12463,14008,0.8897058823529411,0.8867075956596231,0,0,438,438,5003,0,0,1050,63
eltwise_layer.MUT264.cpp,1,2872,0,0,0,2873,3568,12523,0,12543,14009,0.8953529873652651,0.8953529873652651,0,0,322,322,3568,0,0,1050,63
torch_importer.MUT440.cpp,1,2872,0,0,0,2873,234,12532,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,32,32,234,0,0,1050,63
onnx_graph_simplifier.MUT290.cpp,1,2872,0,0,0,2873,1233,12520,0,12525,14008,0.894131924614506,0.894131924614506,0,0,126,126,1233,0,0,1050,63
lrn_layer.MUT46.cpp,4,2821,0,0,48,2873,1612,12467,304,12542,14008,0.8953455168475157,0.8953455168475157,0,0,161,161,1612,0,0,1050,63
shuffle_channel_layer.MUT24.cpp,6,2867,0,0,0,2873,267,12517,0,12534,14008,0.894774414620217,0.894774414620217,0,0,22,22,267,0,0,1050,63
torch_importer.MUT481.cpp,2,2871,0,0,0,2873,464,12518,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,50,50,464,0,0,1050,63
region_layer.MUT109.cpp,1,2872,0,0,0,2873,574,12432,0,12535,14008,0.8948458023986293,0.8948458023986293,0,0,42,42,574,0,0,1050,63
recurrent_layers.MUT146.cpp,2,2871,0,0,0,2873,1894,12453,0,12532,14008,0.8946316390633924,0.8946316390633924,0,0,167,167,1894,0,0,1050,63
lrn_layer.MUT70.cpp,4,2821,0,0,48,2873,1612,12467,304,12542,14008,0.8953455168475157,0.8953455168475157,0,0,161,161,1612,0,0,1050,63
darknet_io.MUT416.cpp,2,2869,0,0,2,2873,146,12495,882,12542,14008,0.8953455168475157,0.8934180468303826,0,0,14,14,146,0,0,1050,63
onnx_importer.MUT169.cpp,18,2310,0,0,545,2873,1342,7870,9195,12210,14003,0.8719560094265515,0.628508176819253,0,0,128,128,1342,0,0,1050,63
tf_importer.MUT691.cpp,6,2867,0,0,0,2873,1683,12488,0,12525,14008,0.894131924614506,0.894131924614506,0,0,140,140,1683,0,0,1050,63
pooling_layer.MUT418.cpp,336,2519,0,0,18,2873,4635,11946,4180,12481,14008,0.8909908623643632,0.8857081667618504,0,0,408,408,4635,0,0,1050,63
tf_importer.MUT554.cpp,8,2854,0,0,11,2873,3905,12489,2842,12541,14008,0.8952741290691034,0.8952741290691034,0,0,352,352,3905,0,0,1050,63
tf_importer.MUT2.cpp,18,2851,0,0,4,2873,4014,12447,1336,12524,14008,0.8940605368360937,0.8940605368360937,0,0,361,361,4014,0,0,1050,63
reduce_layer.MUT19.cpp,8,2857,0,0,8,2873,997,12534,1160,12539,14006,0.8952591746394403,0.8950449807225475,0,0,95,95,997,0,0,1050,63
region_layer.MUT92.cpp,1,2872,0,0,0,2873,581,12432,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,42,42,581,0,0,1050,63
einsum_layer.MUT270.cpp,13,2860,0,0,0,2873,1065,12118,0,12181,14008,0.8695745288406624,0.8695745288406624,0,0,104,104,1065,0,0,1050,63
onnx_importer.MUT1531.cpp,1,2872,0,0,0,2873,1158,12528,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,121,121,1158,0,0,1050,63
tf_graph_simplifier.MUT188.cpp,1,2729,0,0,143,2873,1545,10953,6829,12534,14008,0.894774414620217,0.8231724728726442,0,0,134,134,1545,0,0,1050,63
tf_importer.MUT808.cpp,1,2872,0,0,0,2873,299,12493,0,12511,14008,0.8931324957167333,0.8931324957167333,0,0,33,33,299,0,0,1050,63
onnx_importer.MUT792.cpp,6,2865,0,0,2,2873,1977,12531,1950,12544,14008,0.8954882924043404,0.8954882924043404,0,0,171,171,1977,0,0,1050,63
onnx_importer.MUT1285.cpp,14,2853,0,0,6,2873,1208,12431,1070,12541,14008,0.8952741290691034,0.8916333523700742,0,0,116,116,1208,0,0,1050,63
nary_eltwise_layers.MUT291.cpp,3,2870,0,0,0,2873,1534,12534,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,161,161,1534,0,0,1050,63
einsum_layer.MUT100.cpp,13,2860,0,0,0,2873,1047,12118,0,12154,14008,0.8676470588235294,0.8676470588235294,0,0,102,102,1047,0,0,1050,63
attention_layer.MUT83.cpp,2,2871,0,0,0,2873,1424,12434,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,128,128,1424,0,0,1050,63
nary_eltwise_layers.MUT187.cpp,3,2866,0,0,4,2873,378,12513,3619,12542,14008,0.8953455168475157,0.8935608223872074,0,0,28,28,378,0,0,1050,63
region_layer.MUT9.cpp,1,2872,0,0,0,2873,557,12432,0,12518,14008,0.8936322101656197,0.8936322101656197,0,0,41,41,557,0,0,1050,63
net_quantization.MUT126.cpp,1,2872,0,0,0,2873,2594,12536,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,229,229,2594,0,0,1050,63
onnx_importer.MUT487.cpp,1,2872,0,0,0,2873,852,12522,0,12539,14008,0.8951313535122787,0.8951313535122787,0,0,86,86,852,0,0,1050,63
reshape_layer.MUT50.cpp,3,2793,0,0,77,2873,456,11684,6828,12541,14008,0.8952741290691034,0.8370217018846373,0,0,44,44,456,0,0,1050,63
torch_importer.MUT140.cpp,1,2847,0,0,25,2873,477,12049,2279,12549,14008,0.895845231296402,0.8790691033695032,0,0,40,40,477,0,0,1050,63
darknet_io.MUT19.cpp,3,2868,0,0,2,2873,457,12465,280,12542,14008,0.8953455168475157,0.8946316390633924,0,0,35,35,457,0,0,1050,63
onnx_importer.MUT773.cpp,1,2870,0,0,0,2871,1731,12517,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,163,163,1731,0,0,1050,63
tf_importer.MUT195.cpp,4,2869,0,0,0,2873,1492,12516,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,128,128,1492,0,0,1050,63
onnx_importer.MUT631.cpp,1,2869,0,0,2,2872,1044,12524,1338,12538,14008,0.8950599657338664,0.8949171901770417,0,0,110,110,1044,0,0,1050,63
recurrent_layers.MUT42.cpp,18,2853,0,0,2,2873,1668,12060,2100,12465,14008,0.8898486579097659,0.872430039977156,0,0,146,146,1668,0,0,1050,63
softmax.MUT73.cpp,42,2822,0,0,9,2873,4174,12172,2634,12538,14004,0.8953156241073978,0.8949585832619251,0,0,386,386,4174,0,0,1050,63
onnx_importer.MUT1153.cpp,7,2864,0,0,2,2873,3687,12489,1719,12519,14008,0.893703597944032,0.8934894346087949,0,0,328,328,3687,0,0,1050,63
darknet_io.MUT175.cpp,1,2872,0,0,0,2873,361,12519,0,12539,14008,0.8951313535122787,0.8951313535122787,0,0,24,24,361,0,0,1050,63
mvn_layer.MUT3.cpp,6,2867,0,0,0,2873,1877,12424,0,12541,14008,0.8952741290691034,0.8952741290691034,0,0,177,177,1877,0,0,1050,63
attention_layer.MUT106.cpp,1,2871,0,0,1,2873,1395,12434,1396,12542,14008,0.8953455168475157,0.8953455168475157,0,0,127,127,1395,0,0,1050,63
tf_graph_simplifier.MUT405.cpp,2,2871,0,0,0,2873,749,12539,0,12543,14008,0.895416904625928,0.895416904625928,0,0,75,75,749,0,0,1050,63
elementwise_layers.MUT490.cpp,3,2838,0,0,32,2873,1045,12524,823,12542,14008,0.8953455168475157,0.8953455168475157,0,0,110,110,1045,0,0,1050,63
nary_eltwise_layers.MUT339.cpp,3,2857,0,0,0,2860,1767,12496,0,12535,14008,0.8948458023986293,0.8948458023986293,0,0,170,170,1767,0,0,1050,63
convolution_layer.MUT386.cpp,7,2818,0,0,48,2873,2745,12254,467,12542,14008,0.8953455168475157,0.8953455168475157,0,0,257,257,2745,0,0,1050,63
eltwise_layer.MUT66.cpp,3,2483,0,0,387,2873,1950,12330,3247,12543,14009,0.8953529873652651,0.8847169676636448,0,0,160,160,1950,0,0,1050,63
torch_importer.MUT56.cpp,3,2862,0,0,8,2873,716,12419,1431,12542,14008,0.8953455168475157,0.8886350656767561,0,0,61,61,716,0,0,1050,63
einsum_layer.MUT227.cpp,9,2860,0,0,0,2869,1471,12118,0,12433,14008,0.8875642490005711,0.8875642490005711,0,0,136,136,1471,0,0,1050,63
reduce_layer.MUT126.cpp,4,2810,0,0,59,2873,2992,12441,2661,12542,14008,0.8953455168475157,0.8940605368360937,0,0,279,279,2992,0,0,1050,63
recurrent_layers.MUT229.cpp,1,2871,0,0,1,2873,1059,12453,1607,12542,14008,0.8953455168475157,0.893917761279269,0,0,86,86,1059,0,0,1050,63
gather_elements_layer.MUT41.cpp,1,2872,0,0,0,2873,1055,12538,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,107,107,1055,0,0,1050,63
onnx_importer.MUT1583.cpp,4,2869,0,0,0,2873,1343,12471,0,12539,14008,0.8951313535122787,0.8951313535122787,0,0,123,123,1343,0,0,1050,63
softmax_layer.MUT88.cpp,1,2872,0,0,0,2873,1203,12487,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,123,123,1203,0,0,1050,63
tf_graph_simplifier.MUT138.cpp,2,2729,0,0,142,2873,872,10953,6770,12529,14008,0.8944174757281553,0.8196030839520274,0,0,83,83,872,0,0,1050,63
flow_warp_layer.MUT38.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,29,29,353,0,0,1050,63
slice_layer.MUT162.cpp,18,2849,0,0,0,2867,270,12500,0,12533,14008,0.8947030268418047,0.8947030268418047,0,0,22,22,270,0,0,1050,63
reduce_layer.MUT31.cpp,36,2793,0,0,44,2873,2601,12427,2690,12518,14008,0.8936322101656197,0.8933466590519703,0,0,238,238,2601,0,0,1050,63
onnx_graph_simplifier.MUT202.cpp,2,2871,0,0,0,2873,1265,12513,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,116,116,1265,0,0,1050,63
pooling_layer.MUT82.cpp,306,2518,0,0,49,2873,4345,11761,5307,12466,14008,0.8899200456881782,0.8798543689320388,0,0,381,381,4345,0,0,1050,63
resize_layer.MUT108.cpp,6,2862,0,0,2,2870,2825,12396,2816,12528,14008,0.894346087949743,0.893703597944032,0,0,267,267,2825,0,0,1050,63
permute_layer.MUT10.cpp,78,2794,0,0,1,2873,5349,11643,1002,12132,14008,0.866076527698458,0.866076527698458,0,0,452,452,5349,0,0,1050,63
pooling_layer.MUT309.cpp,44,2829,0,0,0,2873,5484,12421,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,464,464,5484,0,0,1050,63
elementwise_layers.MUT276.cpp,2,2871,0,0,0,2873,1176,12539,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,123,123,1176,0,0,1050,63
prior_box_layer.MUT123.cpp,3,2870,0,0,0,2873,709,12260,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,56,56,709,0,0,1050,63
convolution_layer.MUT119.cpp,2,2868,0,0,3,2873,2211,12516,2554,12542,14008,0.8953455168475157,0.8953455168475157,0,0,187,187,2211,0,0,1050,63
flow_warp_layer.MUT31.cpp,1,2872,0,0,0,2873,353,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,29,29,353,0,0,1050,63
tf_graph_simplifier.MUT221.cpp,3,2729,0,0,141,2873,773,10953,6852,12543,14008,0.895416904625928,0.8138920616790406,0,0,73,73,773,0,0,1050,63
onnx_importer.MUT1328.cpp,13,2860,0,0,0,2873,796,12118,0,12125,14008,0.8655768132495717,0.8655768132495717,0,0,85,85,796,0,0,1050,63
pooling_layer.MUT306.cpp,43,2829,0,0,1,2873,5478,12421,1310,12542,14008,0.8953455168475157,0.8953455168475157,0,0,464,464,5478,0,0,1050,63
recurrent_layers.MUT363.cpp,3,2870,0,0,0,2873,1449,12409,0,12442,14008,0.8882067390062821,0.8882067390062821,0,0,133,133,1449,0,0,1050,63
slice_layer.MUT163.cpp,6,2855,0,0,12,2873,271,12533,279,12542,14008,0.8953455168475157,0.894774414620217,0,0,22,22,271,0,0,1050,63
recurrent_layers.MUT75.cpp,17,2855,0,0,0,2872,2332,12387,0,12499,14008,0.8922758423757853,0.8922758423757853,0,0,196,196,2332,0,0,1050,63
darknet_io.MUT403.cpp,1,2872,0,0,0,2873,344,12510,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,23,23,344,0,0,1050,63
einsum_layer.MUT172.cpp,13,2860,0,0,0,2873,1201,12118,0,12292,14009,0.8774359340424013,0.8774359340424013,0,0,117,117,1201,0,0,1050,63
onnx_graph_simplifier.MUT126.cpp,1,2310,0,0,562,2873,1567,7870,9544,12514,14008,0.8933466590519703,0.634351798972016,0,0,149,149,1567,0,0,1050,63
pooling_layer.MUT366.cpp,1,2872,0,0,0,2873,507,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,39,39,507,0,0,1050,63
quantization_utils.MUT8.cpp,1,2872,0,0,0,2873,1491,12473,0,12532,14008,0.8946316390633924,0.8946316390633924,0,0,144,144,1491,0,0,1050,63
