tc_id,schema,time_taken
TC1.sh,compress.basic,0.007899999618530273
TC2.sh,gzip.cve_2003_0107,0.007460832595825195
TC3.sh,gzip.readwrite,0.007654428482055664
TC4.sh,deflate.copy,0.007566213607788086
TC5.sh,deflate.dictionary,0.007181406021118164
TC6.sh,deflate.hash_head_0,0.007353544235229492
TC7.sh,deflate.header,0.007130622863769531
TC8.sh,deflate.params,0.007592439651489258
TC9.sh,deflate.pending,0.007230281829833984
TC10.sh,deflate.prime,0.007145404815673828
TC11.sh,deflate.tune,0.007129192352294922
TC12.sh,deflate.large_buffers,0.007431983947753906
TC13.sh,deflate.small_buffers,0.007097005844116211
TC14.sh,deflate.concurrency,1.0080268383026123
TC15.sh,deflate_quick.bi_valid,0.008448362350463867
TC16.sh,deflate_quick.block_open,0.007151126861572266
TC17.sh,dictionary.basic,0.007349252700805664
TC18.sh,inflate.adler32,0.006879329681396484
TC19.sh,inflate.copy_back_and_forth,0.00715184211730957
TC20.sh,inflate.sync,0.007152080535888672
TC21.sh,raw.basic,0.007066965103149414
TC22.sh,small_window.basic,0.0072977542877197266
TC23.sh,compare256.c,0.007157325744628906
TC24.sh,compare256.unaligned_16,0.0071527957916259766
TC25.sh,compare256.unaligned_32,0.007223844528198242
TC26.sh,compare256.unaligned_64,0.0075664520263671875
TC27.sh,compare256.sse2,0.00716853141784668
TC28.sh,compare256.avx2,0.006998777389526367
TC29.sh,compare256_rle.c,0.007218360900878906
TC30.sh,compare256_rle.unaligned_16,0.007044315338134766
TC31.sh,compare256_rle.unaligned_32,0.007008075714111328
TC32.sh,compare256_rle.unaligned_64,0.007105588912963867
TC33.sh,version.basic,0.006985187530517578
TC34.sh,compress_bound/compress_bound_variant.estimate/0,0.007607936859130859
TC35.sh,compress_bound/compress_bound_variant.estimate/1,0.007637500762939453
TC36.sh,compress_bound/compress_bound_variant.estimate/2,0.007675886154174805
TC37.sh,compress_bound/compress_bound_variant.estimate/3,0.007701396942138672
TC38.sh,compress_bound/compress_bound_variant.estimate/4,0.0075342655181884766
TC39.sh,compress_bound/compress_bound_variant.estimate/5,0.007883787155151367
TC40.sh,compress_bound/compress_bound_variant.estimate/6,0.007525205612182617
TC41.sh,compress_bound/compress_bound_variant.estimate/7,0.00760197639465332
TC42.sh,compress_bound/compress_bound_variant.estimate/8,0.007757902145385742
TC43.sh,compress_bound/compress_bound_variant.estimate/9,0.0077550411224365234
TC44.sh,deflate_bound/deflate_bound_variant.estimate/0,0.007413148880004883
TC45.sh,deflate_bound/deflate_bound_variant.estimate/1,0.007645845413208008
TC46.sh,deflate_bound/deflate_bound_variant.estimate/2,0.007553815841674805
TC47.sh,deflate_bound/deflate_bound_variant.estimate/3,0.0075228214263916016
TC48.sh,deflate_bound/deflate_bound_variant.estimate/4,0.007786750793457031
TC49.sh,adler32/adler32_variant.c/0,0.007223606109619141
TC50.sh,adler32/adler32_variant.c/1,0.006995677947998047
TC51.sh,adler32/adler32_variant.c/2,0.007051706314086914
TC52.sh,adler32/adler32_variant.c/3,0.006978034973144531
TC53.sh,adler32/adler32_variant.c/4,0.0069463253021240234
TC54.sh,adler32/adler32_variant.c/5,0.007080793380737305
TC55.sh,adler32/adler32_variant.c/6,0.007153749465942383
TC56.sh,adler32/adler32_variant.c/7,0.007090330123901367
TC57.sh,adler32/adler32_variant.c/8,0.006972074508666992
TC58.sh,adler32/adler32_variant.c/9,0.007051229476928711
TC59.sh,adler32/adler32_variant.c/10,0.0069446563720703125
TC60.sh,adler32/adler32_variant.c/11,0.007122993469238281
TC61.sh,adler32/adler32_variant.c/12,0.00786590576171875
TC62.sh,adler32/adler32_variant.c/13,0.007249355316162109
TC63.sh,adler32/adler32_variant.c/14,0.007027864456176758
TC64.sh,adler32/adler32_variant.c/15,0.007028341293334961
TC65.sh,adler32/adler32_variant.c/16,0.0070400238037109375
TC66.sh,adler32/adler32_variant.c/17,0.006988525390625
TC67.sh,adler32/adler32_variant.c/18,0.007253408432006836
TC68.sh,adler32/adler32_variant.c/19,0.007077693939208984
TC69.sh,adler32/adler32_variant.c/20,0.0070264339447021484
TC70.sh,adler32/adler32_variant.c/21,0.006982088088989258
TC71.sh,adler32/adler32_variant.c/22,0.007031679153442383
TC72.sh,adler32/adler32_variant.c/23,0.007008075714111328
TC73.sh,adler32/adler32_variant.c/24,0.006953716278076172
TC74.sh,adler32/adler32_variant.c/25,0.007042407989501953
TC75.sh,adler32/adler32_variant.c/26,0.007133960723876953
TC76.sh,adler32/adler32_variant.c/27,0.007082462310791016
TC77.sh,adler32/adler32_variant.c/28,0.007114887237548828
TC78.sh,adler32/adler32_variant.c/29,0.0070302486419677734
TC79.sh,adler32/adler32_variant.c/30,0.006876468658447266
TC80.sh,adler32/adler32_variant.c/31,0.0069735050201416016
TC81.sh,adler32/adler32_variant.c/32,0.006949186325073242
TC82.sh,adler32/adler32_variant.c/33,0.0070667266845703125
TC83.sh,adler32/adler32_variant.c/34,0.006954193115234375
TC84.sh,adler32/adler32_variant.c/35,0.007043361663818359
TC85.sh,adler32/adler32_variant.c/36,0.007149457931518555
TC86.sh,adler32/adler32_variant.c/37,0.007155895233154297
TC87.sh,adler32/adler32_variant.c/38,0.007082939147949219
TC88.sh,adler32/adler32_variant.c/39,0.007044792175292969
TC89.sh,adler32/adler32_variant.c/40,0.006995201110839844
TC90.sh,adler32/adler32_variant.c/41,0.00726008415222168
TC91.sh,adler32/adler32_variant.c/42,0.0070667266845703125
TC92.sh,adler32/adler32_variant.c/43,0.007043600082397461
TC93.sh,adler32/adler32_variant.c/44,0.0070476531982421875
TC94.sh,adler32/adler32_variant.c/45,0.006976127624511719
TC95.sh,adler32/adler32_variant.c/46,0.007044076919555664
TC96.sh,adler32/adler32_variant.c/47,0.007154226303100586
TC97.sh,adler32/adler32_variant.c/48,0.007134437561035156
TC98.sh,adler32/adler32_variant.c/49,0.007100105285644531
TC99.sh,adler32/adler32_variant.c/50,0.0071392059326171875
TC100.sh,adler32/adler32_variant.c/51,0.006984710693359375
TC101.sh,adler32/adler32_variant.c/52,0.006966352462768555
TC102.sh,adler32/adler32_variant.c/53,0.007147550582885742
TC103.sh,adler32/adler32_variant.c/54,0.007057666778564453
TC104.sh,adler32/adler32_variant.c/55,0.0070362091064453125
TC105.sh,adler32/adler32_variant.c/56,0.007082462310791016
TC106.sh,adler32/adler32_variant.c/57,0.007058620452880859
TC107.sh,adler32/adler32_variant.c/58,0.006893634796142578
TC108.sh,adler32/adler32_variant.c/59,0.007019519805908203
TC109.sh,adler32/adler32_variant.c/60,0.0070362091064453125
TC110.sh,adler32/adler32_variant.c/61,0.007271289825439453
TC111.sh,adler32/adler32_variant.c/62,0.007038116455078125
TC112.sh,adler32/adler32_variant.c/63,0.007152080535888672
TC113.sh,adler32/adler32_variant.c/64,0.007087230682373047
TC114.sh,adler32/adler32_variant.c/65,0.006994009017944336
TC115.sh,adler32/adler32_variant.c/66,0.007180690765380859
TC116.sh,adler32/adler32_variant.c/67,0.007133960723876953
TC117.sh,adler32/adler32_variant.c/68,0.007094860076904297
TC118.sh,adler32/adler32_variant.c/69,0.007006168365478516
TC119.sh,adler32/adler32_variant.c/70,0.0070345401763916016
TC120.sh,adler32/adler32_variant.c/71,0.0070285797119140625
TC121.sh,adler32/adler32_variant.c/72,0.0070743560791015625
TC122.sh,adler32/adler32_variant.c/73,0.007132530212402344
TC123.sh,adler32/adler32_variant.c/74,0.0070989131927490234
TC124.sh,adler32/adler32_variant.c/75,0.007114410400390625
TC125.sh,adler32/adler32_variant.c/76,0.006995201110839844
TC126.sh,adler32/adler32_variant.c/77,0.006998777389526367
TC127.sh,adler32/adler32_variant.c/78,0.007123470306396484
TC128.sh,adler32/adler32_variant.c/79,0.007110595703125
TC129.sh,adler32/adler32_variant.c/80,0.007113456726074219
TC130.sh,adler32/adler32_variant.c/81,0.00702214241027832
TC131.sh,adler32/adler32_variant.c/82,0.0070722103118896484
TC132.sh,adler32/adler32_variant.c/83,0.007200002670288086
TC133.sh,adler32/adler32_variant.c/84,0.007152080535888672
TC134.sh,adler32/adler32_variant.c/85,0.006909608840942383
TC135.sh,adler32/adler32_variant.c/86,0.007157325744628906
TC136.sh,adler32/adler32_variant.c/87,0.006955623626708984
TC137.sh,adler32/adler32_variant.c/88,0.006960630416870117
TC138.sh,adler32/adler32_variant.c/89,0.006973743438720703
TC139.sh,adler32/adler32_variant.c/90,0.0068933963775634766
TC140.sh,adler32/adler32_variant.c/91,0.006908416748046875
TC141.sh,adler32/adler32_variant.c/92,0.0068585872650146484
TC142.sh,adler32/adler32_variant.c/93,0.006898403167724609
TC143.sh,adler32/adler32_variant.c/94,0.0069751739501953125
TC144.sh,adler32/adler32_variant.c/95,0.006915092468261719
TC145.sh,adler32/adler32_variant.c/96,0.006941556930541992
TC146.sh,adler32/adler32_variant.c/97,0.006936311721801758
TC147.sh,adler32/adler32_variant.c/98,0.0072021484375
TC148.sh,adler32/adler32_variant.c/99,0.007097482681274414
TC149.sh,adler32/adler32_variant.c/100,0.007058620452880859
TC150.sh,adler32/adler32_variant.c/101,0.007141828536987305
TC151.sh,adler32/adler32_variant.c/102,0.006929159164428711
TC152.sh,adler32/adler32_variant.c/103,0.006962776184082031
TC153.sh,adler32/adler32_variant.c/104,0.006997346878051758
TC154.sh,adler32/adler32_variant.c/105,0.007038116455078125
TC155.sh,adler32/adler32_variant.c/106,0.007172107696533203
TC156.sh,adler32/adler32_variant.c/107,0.00710749626159668
TC157.sh,adler32/adler32_variant.c/108,0.00725102424621582
TC158.sh,adler32/adler32_variant.c/109,0.007061481475830078
TC159.sh,adler32/adler32_variant.c/110,0.0071833133697509766
TC160.sh,adler32/adler32_variant.c/111,0.00705718994140625
TC161.sh,adler32/adler32_variant.c/112,0.007215976715087891
TC162.sh,adler32/adler32_variant.c/113,0.0070858001708984375
TC163.sh,adler32/adler32_variant.c/114,0.006979227066040039
TC164.sh,adler32/adler32_variant.c/115,0.00713348388671875
TC165.sh,adler32/adler32_variant.c/116,0.007066249847412109
TC166.sh,adler32/adler32_variant.c/117,0.007359743118286133
TC167.sh,adler32/adler32_variant.c/118,0.00698399543762207
TC168.sh,adler32/adler32_variant.c/119,0.006937503814697266
TC169.sh,adler32/adler32_variant.c/120,0.007085561752319336
TC170.sh,adler32/adler32_variant.c/121,0.00716400146484375
TC171.sh,adler32/adler32_variant.c/122,0.007139444351196289
TC172.sh,adler32/adler32_variant.c/123,0.007152080535888672
TC173.sh,adler32/adler32_variant.c/124,0.006960391998291016
TC174.sh,adler32/adler32_variant.c/125,0.006892204284667969
TC175.sh,adler32/adler32_variant.c/126,0.006982326507568359
TC176.sh,adler32/adler32_variant.c/127,0.007172107696533203
TC177.sh,adler32/adler32_variant.c/128,0.007210969924926758
TC178.sh,adler32/adler32_variant.c/129,0.007066011428833008
TC179.sh,adler32/adler32_variant.c/130,0.007076740264892578
TC180.sh,adler32/adler32_variant.c/131,0.007055759429931641
TC181.sh,adler32/adler32_variant.c/132,0.0070645809173583984
TC182.sh,adler32/adler32_variant.c/133,0.007143259048461914
TC183.sh,adler32/adler32_variant.c/134,0.007064342498779297
TC184.sh,adler32/adler32_variant.c/135,0.007074117660522461
TC185.sh,adler32/adler32_variant.c/136,0.0070841312408447266
TC186.sh,adler32/adler32_variant.c/137,0.007010698318481445
TC187.sh,adler32/adler32_variant.c/138,0.006884336471557617
TC188.sh,adler32/adler32_variant.c/139,0.007199287414550781
TC189.sh,adler32/adler32_variant.c/140,0.007177114486694336
TC190.sh,adler32/adler32_variant.c/141,0.0070650577545166016
TC191.sh,adler32/adler32_variant.ssse3/0,0.007000446319580078
TC192.sh,adler32/adler32_variant.ssse3/1,0.007042407989501953
TC193.sh,adler32/adler32_variant.ssse3/2,0.006949186325073242
TC194.sh,adler32/adler32_variant.ssse3/3,0.007096767425537109
TC195.sh,adler32/adler32_variant.ssse3/4,0.0072133541107177734
TC196.sh,adler32/adler32_variant.ssse3/5,0.007173776626586914
TC197.sh,adler32/adler32_variant.ssse3/6,0.007241249084472656
TC198.sh,adler32/adler32_variant.ssse3/7,0.006937503814697266
TC199.sh,adler32/adler32_variant.ssse3/8,0.0072824954986572266
TC200.sh,adler32/adler32_variant.ssse3/9,0.0070078372955322266
TC201.sh,adler32/adler32_variant.ssse3/10,0.0070917606353759766
TC202.sh,adler32/adler32_variant.ssse3/11,0.0072100162506103516
TC203.sh,adler32/adler32_variant.ssse3/12,0.007349729537963867
TC204.sh,adler32/adler32_variant.ssse3/13,0.007334470748901367
TC205.sh,adler32/adler32_variant.ssse3/14,0.007188081741333008
TC206.sh,adler32/adler32_variant.ssse3/15,0.007170677185058594
TC207.sh,adler32/adler32_variant.ssse3/16,0.007261514663696289
TC208.sh,adler32/adler32_variant.ssse3/17,0.0069391727447509766
TC209.sh,adler32/adler32_variant.ssse3/18,0.007020473480224609
TC210.sh,adler32/adler32_variant.ssse3/19,0.006887197494506836
TC211.sh,adler32/adler32_variant.ssse3/20,0.007175922393798828
TC212.sh,adler32/adler32_variant.ssse3/21,0.007333040237426758
TC213.sh,adler32/adler32_variant.ssse3/22,0.0070302486419677734
TC214.sh,adler32/adler32_variant.ssse3/23,0.007185935974121094
TC215.sh,adler32/adler32_variant.ssse3/24,0.007059335708618164
TC216.sh,adler32/adler32_variant.ssse3/25,0.0072710514068603516
TC217.sh,adler32/adler32_variant.ssse3/26,0.007159233093261719
TC218.sh,adler32/adler32_variant.ssse3/27,0.007040500640869141
TC219.sh,adler32/adler32_variant.ssse3/28,0.00694727897644043
TC220.sh,adler32/adler32_variant.ssse3/29,0.007166624069213867
TC221.sh,adler32/adler32_variant.ssse3/30,0.007233619689941406
TC222.sh,adler32/adler32_variant.ssse3/31,0.007080554962158203
TC223.sh,adler32/adler32_variant.ssse3/32,0.007120847702026367
TC224.sh,adler32/adler32_variant.ssse3/33,0.007053852081298828
TC225.sh,adler32/adler32_variant.ssse3/34,0.007242441177368164
TC226.sh,adler32/adler32_variant.ssse3/35,0.0071756839752197266
TC227.sh,adler32/adler32_variant.ssse3/36,0.007158756256103516
TC228.sh,adler32/adler32_variant.ssse3/37,0.007559776306152344
TC229.sh,adler32/adler32_variant.ssse3/38,0.007094621658325195
TC230.sh,adler32/adler32_variant.ssse3/39,0.007031679153442383
TC231.sh,adler32/adler32_variant.ssse3/40,0.007071733474731445
TC232.sh,adler32/adler32_variant.ssse3/41,0.0070247650146484375
TC233.sh,adler32/adler32_variant.ssse3/42,0.00722503662109375
TC234.sh,adler32/adler32_variant.ssse3/43,0.007218837738037109
TC235.sh,adler32/adler32_variant.ssse3/44,0.0072290897369384766
TC236.sh,adler32/adler32_variant.ssse3/45,0.007126808166503906
TC237.sh,adler32/adler32_variant.ssse3/46,0.007246255874633789
TC238.sh,adler32/adler32_variant.ssse3/47,0.007169008255004883
TC239.sh,adler32/adler32_variant.ssse3/48,0.0071446895599365234
TC240.sh,adler32/adler32_variant.ssse3/49,0.007197380065917969
TC241.sh,adler32/adler32_variant.ssse3/50,0.007096052169799805
TC242.sh,adler32/adler32_variant.ssse3/51,0.007180690765380859
TC243.sh,adler32/adler32_variant.ssse3/52,0.007074594497680664
TC244.sh,adler32/adler32_variant.ssse3/53,0.007058382034301758
TC245.sh,adler32/adler32_variant.ssse3/54,0.007167816162109375
TC246.sh,adler32/adler32_variant.ssse3/55,0.00712895393371582
TC247.sh,adler32/adler32_variant.ssse3/56,0.00727081298828125
TC248.sh,adler32/adler32_variant.ssse3/57,0.007031917572021484
TC249.sh,adler32/adler32_variant.ssse3/58,0.0070421695709228516
TC250.sh,adler32/adler32_variant.ssse3/59,0.007022380828857422
TC251.sh,adler32/adler32_variant.ssse3/60,0.007034778594970703
TC252.sh,adler32/adler32_variant.ssse3/61,0.007054805755615234
TC253.sh,adler32/adler32_variant.ssse3/62,0.007227897644042969
TC254.sh,adler32/adler32_variant.ssse3/63,0.0070400238037109375
TC255.sh,adler32/adler32_variant.ssse3/64,0.0071103572845458984
TC256.sh,adler32/adler32_variant.ssse3/65,0.0070247650146484375
TC257.sh,adler32/adler32_variant.ssse3/66,0.0071239471435546875
TC258.sh,adler32/adler32_variant.ssse3/67,0.007089853286743164
TC259.sh,adler32/adler32_variant.ssse3/68,0.007015228271484375
TC260.sh,adler32/adler32_variant.ssse3/69,0.00698399543762207
TC261.sh,adler32/adler32_variant.ssse3/70,0.006961345672607422
TC262.sh,adler32/adler32_variant.ssse3/71,0.00699615478515625
TC263.sh,adler32/adler32_variant.ssse3/72,0.0069773197174072266
TC264.sh,adler32/adler32_variant.ssse3/73,0.007154941558837891
TC265.sh,adler32/adler32_variant.ssse3/74,0.007114410400390625
TC266.sh,adler32/adler32_variant.ssse3/75,0.007130622863769531
TC267.sh,adler32/adler32_variant.ssse3/76,0.007043600082397461
TC268.sh,adler32/adler32_variant.ssse3/77,0.007025241851806641
TC269.sh,adler32/adler32_variant.ssse3/78,0.00692439079284668
TC270.sh,adler32/adler32_variant.ssse3/79,0.006937503814697266
TC271.sh,adler32/adler32_variant.ssse3/80,0.007015705108642578
TC272.sh,adler32/adler32_variant.ssse3/81,0.007115602493286133
TC273.sh,adler32/adler32_variant.ssse3/82,0.006974935531616211
TC274.sh,adler32/adler32_variant.ssse3/83,0.007226467132568359
TC275.sh,adler32/adler32_variant.ssse3/84,0.0070645809173583984
TC276.sh,adler32/adler32_variant.ssse3/85,0.007105112075805664
TC277.sh,adler32/adler32_variant.ssse3/86,0.0070400238037109375
TC278.sh,adler32/adler32_variant.ssse3/87,0.0071299076080322266
TC279.sh,adler32/adler32_variant.ssse3/88,0.007048130035400391
TC280.sh,adler32/adler32_variant.ssse3/89,0.007127523422241211
TC281.sh,adler32/adler32_variant.ssse3/90,0.007013082504272461
TC282.sh,adler32/adler32_variant.ssse3/91,0.007135152816772461
TC283.sh,adler32/adler32_variant.ssse3/92,0.006990671157836914
TC284.sh,adler32/adler32_variant.ssse3/93,0.00717616081237793
TC285.sh,adler32/adler32_variant.ssse3/94,0.00714421272277832
TC286.sh,adler32/adler32_variant.ssse3/95,0.006979942321777344
TC287.sh,adler32/adler32_variant.ssse3/96,0.007123470306396484
TC288.sh,adler32/adler32_variant.ssse3/97,0.0069293975830078125
TC289.sh,adler32/adler32_variant.ssse3/98,0.006950855255126953
TC290.sh,adler32/adler32_variant.ssse3/99,0.006967782974243164
TC291.sh,adler32/adler32_variant.ssse3/100,0.007048845291137695
TC292.sh,adler32/adler32_variant.ssse3/101,0.007136106491088867
TC293.sh,adler32/adler32_variant.ssse3/102,0.007073402404785156
TC294.sh,adler32/adler32_variant.ssse3/103,0.007063150405883789
TC295.sh,adler32/adler32_variant.ssse3/104,0.006964445114135742
TC296.sh,adler32/adler32_variant.ssse3/105,0.0070476531982421875
TC297.sh,adler32/adler32_variant.ssse3/106,0.006865262985229492
TC298.sh,adler32/adler32_variant.ssse3/107,0.0068378448486328125
TC299.sh,adler32/adler32_variant.ssse3/108,0.0069806575775146484
TC300.sh,adler32/adler32_variant.ssse3/109,0.0074498653411865234
TC301.sh,adler32/adler32_variant.ssse3/110,0.007014274597167969
TC302.sh,adler32/adler32_variant.ssse3/111,0.0073964595794677734
TC303.sh,adler32/adler32_variant.ssse3/112,0.00700831413269043
TC304.sh,adler32/adler32_variant.ssse3/113,0.006868600845336914
TC305.sh,adler32/adler32_variant.ssse3/114,0.007186412811279297
TC306.sh,adler32/adler32_variant.ssse3/115,0.007142782211303711
TC307.sh,adler32/adler32_variant.ssse3/116,0.007071256637573242
TC308.sh,adler32/adler32_variant.ssse3/117,0.007249593734741211
TC309.sh,adler32/adler32_variant.ssse3/118,0.007014036178588867
TC310.sh,adler32/adler32_variant.ssse3/119,0.0071201324462890625
TC311.sh,adler32/adler32_variant.ssse3/120,0.007074594497680664
TC312.sh,adler32/adler32_variant.ssse3/121,0.006951808929443359
TC313.sh,adler32/adler32_variant.ssse3/122,0.007018327713012695
TC314.sh,adler32/adler32_variant.ssse3/123,0.007126331329345703
TC315.sh,adler32/adler32_variant.ssse3/124,0.006972312927246094
TC316.sh,adler32/adler32_variant.ssse3/125,0.00706171989440918
TC317.sh,adler32/adler32_variant.ssse3/126,0.007141590118408203
TC318.sh,adler32/adler32_variant.ssse3/127,0.007070779800415039
TC319.sh,adler32/adler32_variant.ssse3/128,0.0070111751556396484
TC320.sh,adler32/adler32_variant.ssse3/129,0.006874561309814453
TC321.sh,adler32/adler32_variant.ssse3/130,0.0069506168365478516
TC322.sh,adler32/adler32_variant.ssse3/131,0.0070307254791259766
TC323.sh,adler32/adler32_variant.ssse3/132,0.006980419158935547
TC324.sh,adler32/adler32_variant.ssse3/133,0.0069158077239990234
TC325.sh,adler32/adler32_variant.ssse3/134,0.0069675445556640625
TC326.sh,adler32/adler32_variant.ssse3/135,0.006853580474853516
TC327.sh,adler32/adler32_variant.ssse3/136,0.006962299346923828
TC328.sh,adler32/adler32_variant.ssse3/137,0.006984710693359375
TC329.sh,adler32/adler32_variant.ssse3/138,0.00717473030090332
TC330.sh,adler32/adler32_variant.ssse3/139,0.007082700729370117
TC331.sh,adler32/adler32_variant.ssse3/140,0.007068157196044922
TC332.sh,adler32/adler32_variant.ssse3/141,0.007111549377441406
TC333.sh,adler32/adler32_variant.avx2/0,0.006993532180786133
TC334.sh,adler32/adler32_variant.avx2/1,0.007086038589477539
TC335.sh,adler32/adler32_variant.avx2/2,0.007178068161010742
TC336.sh,adler32/adler32_variant.avx2/3,0.007149219512939453
TC337.sh,adler32/adler32_variant.avx2/4,0.007035255432128906
TC338.sh,adler32/adler32_variant.avx2/5,0.007115364074707031
TC339.sh,adler32/adler32_variant.avx2/6,0.007019519805908203
TC340.sh,adler32/adler32_variant.avx2/7,0.007131338119506836
TC341.sh,adler32/adler32_variant.avx2/8,0.007108211517333984
TC342.sh,adler32/adler32_variant.avx2/9,0.0070879459381103516
TC343.sh,adler32/adler32_variant.avx2/10,0.007152080535888672
TC344.sh,adler32/adler32_variant.avx2/11,0.007028341293334961
TC345.sh,adler32/adler32_variant.avx2/12,0.007090568542480469
TC346.sh,adler32/adler32_variant.avx2/13,0.007234096527099609
TC347.sh,adler32/adler32_variant.avx2/14,0.00710749626159668
TC348.sh,adler32/adler32_variant.avx2/15,0.007093667984008789
TC349.sh,adler32/adler32_variant.avx2/16,0.007067680358886719
TC350.sh,adler32/adler32_variant.avx2/17,0.007222652435302734
TC351.sh,adler32/adler32_variant.avx2/18,0.0069506168365478516
TC352.sh,adler32/adler32_variant.avx2/19,0.007142305374145508
TC353.sh,adler32/adler32_variant.avx2/20,0.0071103572845458984
TC354.sh,adler32/adler32_variant.avx2/21,0.0070340633392333984
TC355.sh,adler32/adler32_variant.avx2/22,0.006945371627807617
TC356.sh,adler32/adler32_variant.avx2/23,0.0069332122802734375
TC357.sh,adler32/adler32_variant.avx2/24,0.0070149898529052734
TC358.sh,adler32/adler32_variant.avx2/25,0.007798671722412109
TC359.sh,adler32/adler32_variant.avx2/26,0.007364988327026367
TC360.sh,adler32/adler32_variant.avx2/27,0.0070874691009521484
TC361.sh,adler32/adler32_variant.avx2/28,0.007188320159912109
TC362.sh,adler32/adler32_variant.avx2/29,0.007009983062744141
TC363.sh,adler32/adler32_variant.avx2/30,0.007130622863769531
TC364.sh,adler32/adler32_variant.avx2/31,0.007069826126098633
TC365.sh,adler32/adler32_variant.avx2/32,0.007262706756591797
TC366.sh,adler32/adler32_variant.avx2/33,0.006994724273681641
TC367.sh,adler32/adler32_variant.avx2/34,0.006991147994995117
TC368.sh,adler32/adler32_variant.avx2/35,0.006869077682495117
TC369.sh,adler32/adler32_variant.avx2/36,0.007031440734863281
TC370.sh,adler32/adler32_variant.avx2/37,0.007132768630981445
TC371.sh,adler32/adler32_variant.avx2/38,0.007168769836425781
TC372.sh,adler32/adler32_variant.avx2/39,0.007066488265991211
TC373.sh,adler32/adler32_variant.avx2/40,0.007050514221191406
TC374.sh,adler32/adler32_variant.avx2/41,0.0071027278900146484
TC375.sh,adler32/adler32_variant.avx2/42,0.006936550140380859
TC376.sh,adler32/adler32_variant.avx2/43,0.007590293884277344
TC377.sh,adler32/adler32_variant.avx2/44,0.007227897644042969
TC378.sh,adler32/adler32_variant.avx2/45,0.00716400146484375
TC379.sh,adler32/adler32_variant.avx2/46,0.007109403610229492
TC380.sh,adler32/adler32_variant.avx2/47,0.007042884826660156
TC381.sh,adler32/adler32_variant.avx2/48,0.007040977478027344
TC382.sh,adler32/adler32_variant.avx2/49,0.00700688362121582
TC383.sh,adler32/adler32_variant.avx2/50,0.006990194320678711
TC384.sh,adler32/adler32_variant.avx2/51,0.006813764572143555
TC385.sh,adler32/adler32_variant.avx2/52,0.0071294307708740234
TC386.sh,adler32/adler32_variant.avx2/53,0.007268190383911133
